Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1c3a0>,Harrer et al. (2024),"Disappearing archosaurs - an assessment of established protected areas in the Philippines to save the critically endangered, endemic Philippine Crocodile (Crocodylus mindorensis)",Crocodile habitat suitability modeling,Satellite,,0,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1c400>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1c460>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1ca30>,Harvey et al. (2024),"Ocean sprawl: The global footprint of shellfish and algae aquaculture and its implications for production, environmental impact, and biosecurity",Shellfish & algae aquaculture footprint mapping,Satellite,,0,10.1016/j.aquaculture.2024.740747,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1ca90>,"China, South Korea, Chile, Japan, Vietnam",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1caf0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1d0c0>,Hashim et al. (2023),"Analysis of Water Yield Changes in the Johor River Basin, Peninsular Malaysia Using Remote Sensing Satellite Imagery",Water yield change analysis,Satellite,,0,10.3390/rs15133432,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1d120>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1d180>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1d750>,Hastuty & Ahmad (2024),Landslide Analysis Using Geographic Information System (GIS) in South Tapanuli Regency,Landslide analysis,NA (GIS),,0,10.1007/978-981-99-9219-5_28,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1d7b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1d810>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1dde0>,Hazra et al. (2024),"Integration of GIS with RUSLE to estimate soil, organic matter and nutrient loss from a watershed of eastern Himalayan Terai","Soil, organic matter, and nutrient loss estimation","NA (GIS, RUSLE)",,0,10.1007/s12665-024-11971-x,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1de40>,India,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1dea0>,Non-SEA → review for removal,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1e470>,Heng et al. (2025),Healthy and Unhealthy Oil Palm Tree Detection Using Deep Learning Method,Healthy & unhealthy oil palm tree detection,Drone,,0,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1e4d0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1e530>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1eb00>,Herdiansyah et al. (2023),Palm oil cluster resilience to enhance indigenous welfare by innovative ability to address land conflicts: Evidence of disaster hierarchy,Palm oil cluster resilience & land conflicts,NA (GIS),,1,10.1515/opag-2022-0206,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1eb60>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1ebc0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1f190>,Hermantoro et al. (2023),DETECTING GANODERMA BASAL STEM ROT DISEASE ON OIL PALM USING ARTIFICIAL NEURAL NETWORK METHOD,Ganoderma disease detection on oil palm,Drone,,0,10.28919/cmbn/7911,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1f1f0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1f250>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1f820>,Hoang et al. (2024),"Application of GIS and Multi-Criteria Analysis (MCA) in Land Evaluation at Ninh Phuoc District, Ninh Thuan Province, Vietnam",Land evaluation for agriculture,"NA (GIS, MCA)",,1,10.1088/1755-1315/1345/1/012021,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1f880>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1f8e0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1feb0>,Hongo et al. (2024),Efficient Damage Assessment of Rice Bacterial Leaf Blight Disease in Agricultural Insurance Using UAV Data,Rice disease damage assessment,Drone,ms,1,10.3390/agronomy14061328,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1ff10>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac1ff70>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3c580>,Hosonuma et al. (2024),"Evaluation of Geographical and Annual Changes in Rice Planting Patterns Using Satellite Images in the Flood-Prone Area of the Pampanga River Basin, the Philippines",Rice planting pattern evaluation,Satellite,,1,10.3390/rs16030499,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3c5e0>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3c640>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3cc10>,Htun et al. (2023),Rice yield prediction model using normalized vegetation and water indices from Sentinel-2A satellite imagery datasets,Rice yield prediction,Satellite,,1,10.1007/s41685-023-00299-2,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3cc70>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3ccd0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3d2a0>,Huong & Rodríguez-Hernández (2023),"Mapping the Above-Ground Biomass of Rhizophora apiculata plantation Forests Using PlanetScope Imagery in Thanh Phu Nature Reserve, Vietnam",Mangrove above-ground biomass estimation,Satellite,,0,10.1134/S1062359023601957,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3d300>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3d360>,SEA,2.1 Remote Sensing; 3.1 HTP/Phenotyping,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3d930>,Huynh et al. (2024),"Water quality assessment using national Water Quality Index (WQI): a case study of the Song Be River, Bing Duong Province, Vietnam",Water quality assessment,NA (GIS),,0,10.1088/2515-7620/ad810a,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3d990>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3d9f0>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3dfc0>,Iamampai et al. (2023),"DROUGHT HAZARD ASSESSMENT USING ANOMALY DROUGHT INDEX AND GEOGRAPHIC INFORMATION SYSTEM IN THE CHI RIVER BASIN, THAILAND",Drought hazard assessment,Satellite,,0,10.21163/GT_2023.181.04,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3e020>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3e080>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3e650>,Imsamranrat & Leelasantitham (2024),"Assessing Groundwater Resources Vulnerability with the New DRASTIC-LP: A Case Study in Chiang Mai Province, Thailand",Groundwater vulnerability assessment,NA (GIS),,0,10.3390/w16040547,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3e6b0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3e710>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3ece0>,Indriasari et al. (2023),Temporal Variation of MODIS NDVI in the North Coast Java During El Nino and La Nina,El Nino/La Nina impact on paddy fields,Satellite,,1,10.1109/ICARES60489.2023.10329802,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3ed40>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3eda0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3f370>,Innocentini et al. (2024),Analysis of Multispectral Indices as a Tool for Segmenting and Quantifying the Seaweed Kappaphycus alvarezii in a Commercial Cultivation System,Seaweed segmentation & quantification,Drone,ms,1,10.3390/biomass4030052,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3f3d0>,Brazil,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3f430>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3fa00>,Insan et al. (2024),Performance Enhancement of 5G Cellular-Connected UAV in Palm Oil Plantation using Antenna Beamforming,5G cellular-connected UAV performance,Drone,others,1,10.1109/ISCAIE61308.2024.10576526,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3fa60>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa3fac0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa580d0>,Intarat et al. (2025),"INTEGRATING SPECTRAL AND TEXTURE INDICES WITH MACHINE LEARNING FOR RICE LEAF AREA INDEX (LAI) ESTIMATION IN SUPHAN BURI, THAILAND",Rice leaf area index (LAI) estimation,Drone,ms,1,10.21163/GT_2025.201.15,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58130>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58190>,SEA,"2.1 Remote Sensing; 3.1 HTP/Phenotyping, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58760>,Irawan & Komori (2024),Beyond Fixed Dates and Coarse Resolution: Developing a Dynamic Dry Season Crop Calendar for Paddy in Indonesia from 2001 to 2021,Dry season crop calendar for paddy,Satellite,,1,10.3390/agronomy14030564,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa587c0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58820>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58df0>,Irsyad et al. (2023),Impacts of the dry season on rice production using Landsat 8 in West Sumatra,Dry season impact on rice production,Satellite,,1,10.1007/s10333-022-00922-6,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58e50>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa58eb0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa59480>,Isa et al. (2023),"Landscape characterization using GIS-Based Landscape Character Assessment in Hulu Langat district, Malaysia",Landscape character assessment,Satellite,,0,10.17576/geo-2023-1903-02,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa594e0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa59540>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa59b10>,Iwahashi et al. (2023),Drought Damage Assessment for Crop Insurance Based on Vegetation Index by Unmanned Aerial Vehicle (UAV) Multispectral Images of Paddy Fields in Indonesia,Drought damage assessment for crop insurance,Drone,ms,1,10.3390/agriculture13010113,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa59b70>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa59bd0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5a1a0>,Jaikawna & Pagdee (2024),"Water purification - an essential service from forest ecosystems, and farming practices in the Pong River Basin, Northeast Thailand",Water purification ecosystem services assessment,Satellite,,0,10.1016/j.tfp.2024.100599,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5a200>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5a260>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5a830>,Jamroen & Suttikul (2024),A geographic information system-assisted techno-economic assessment framework for aquavoltaic systems in shrimp farming,Aquavoltaic systems in shrimp farming,NA (GIS),,0,10.1016/j.egyr.2024.06.059,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5a890>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5a8f0>,SEA,2.1 Remote Sensing; 2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5aec0>,Jelsma et al. (2024),"Collective action, replanting and resilience; Key lessons from 40 years of smallholder oil palm cultivation in the Ophir plantation, Indonesia",Smallholder oil palm cultivation resilience analysis,Satellite,,1,10.1016/j.agsy.2023.103801,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5af20>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5af80>,SEA,2.1 Remote Sensing; 4/5 Practical/Adoption,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5b550>,Jewan et al. (2023),MONITORING GROWTH AND DEVELOPMENT OF BAMBARA GROUNDNUT USING A LOW-COST UNMANNED AERIAL VEHICLE,Bambara groundnut growth monitoring,Drone,ms,1,10.1109/IGARSS52108.2023.10282340,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5b5b0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5b610>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5bbe0>,Jiang et al. (2023),Cropland Data Extraction in Mekong Delta Based on Time Series Sentinel-1 Dual-Polarized Data,Cropland data extraction,Satellite,,1,10.3390/rs15123050,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5bc40>,Mekong Delta,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa5bca0>,Borderline-SEA → reclassify as SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa702b0>,Johari et al. (2023),"Automatic Classification of Bagworm, Metisa plana (Walker) Instar Stages Using a Transfer Learning-Based Framework",Bagworm instar stage classification,NA (Image Processing),,1,10.3390/agriculture13020442,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa70310>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa70370>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa70940>,Jotisankasa et al. (2023),Investigating Correlations and the Validation of SMAP-Sentinel L2 and In Situ Soil Moisture in Thailand,Soil moisture validation,Satellite,,1,10.3390/s23218828,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa709a0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa70a00>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa70fd0>,Kamarulzaman et al. (2023),UAV Implementations in Urban Planning and Related Sectors of Rapidly Developing Nations: A Review and Future Perspectives for Malaysia,Drone use in urban planning review,Drone,,0,10.3390/rs15112845,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71030>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71090>,SEA,2.1 Remote Sensing; Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71660>,Kamlun & Phua (2024),Anthropogenic influences on deforestation of a peat swamp forest in Northern Borneo using remote sensing and GIS,Deforestation of peat swamp forest,Satellite,,0,10.5424/fs/2024331-20585,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa716c0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71720>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71cf0>,Keovongsa et al. (2024),"Analysis of Paddy Field Changes (1989-2021) Using Landsat Images and Flooding-Assisted MLC in an Urbanizing Tropical Watershed, Vientiane, Lao PDR",Paddy field change analysis in urbanizing watershed,Satellite,,1,10.3390/su16229776,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71d50>,Laos,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa71db0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa72380>,Kern et al. (2025),A global geospatial analysis to evaluate the impact of biochar on maize yield,Biochar impact on maize yield,NA (Geospatial Analysis),,0,10.1016/j.jenvman.2024.123501,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa723e0>,Global,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa72440>,Background (keep),General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa72a10>,Kesona et al. (2023),Land suitability class and implications to Land-Water-Food Nexus: A case of rice cultivation in Thailand,Land suitability and Land-Water-Food Nexus,NA (GIS),,0,10.1016/j.nexus.2023.100205,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa72a70>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa72ad0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa730a0>,Keya et al. (2024),Enhancing precision flood mapping: Pahang's vulnerability unveiled,Flood susceptibility mapping,NA (GIS),,0,10.1371/journal.pone.0310435,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73100>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73160>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73730>,Khanjani et al. (2025),The environmental cost of shrimp aquaculture: A bibliometric and systematic review of unsustainable farming in mangrove ecosystems,Shrimp aquaculture impact on mangroves review,NA (Review),,1,10.2478/aoas-2025-0097,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73790>,Global,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa737f0>,Background (keep),Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73dc0>,Kharis et al. (2024),"The Influence of Land Use and Slope Variation to Soil Infiltration Rate on Semarang City, Indonesia",Land use & slope influence on soil infiltration,NA (GIS),,0,10.1088/1755-1315/1373/1/012024,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73e20>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa73e80>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8c490>,Khiem et al. (2023),"Use of GIS and machine learning to predict disease in shrimp farmed on the east coast of the Mekong Delta, Vietnam",Shrimp disease prediction,NA (GIS),,1,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8c4f0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8c550>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8cb20>,Khiripet et al. (2024),Thai crops detection using the integration of multi-sensor remote sensing data and an RNN hierarchical algorithm,Crop detection using multi-sensor data,Satellite,,1,10.1117/12.3040587,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8cb80>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8cbe0>,SEA,2.1 Remote Sensing; 2.2 IoT,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8d1b0>,Khuc et al. (2025),"Driving forces of forest cover rehabilitation and implications for forest transition, environmental management and upland sustainable development in Vietnam",Forest rehabilitation driving forces,NA (GIS),,0,10.1007/s10668-023-04159-z,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8d210>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8d270>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8d840>,Kondum et al. (2024),"Change analyses and prediction of land use and land cover changes in Bernam River Basin, Malaysia",LULC change analysis & prediction,Satellite,,0,10.1016/j.rsase.2024.101281,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8d8a0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8d900>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8ded0>,Koutilya & Bandaru (2023),Mapping sugarcane residue burnt areas in smallholder farming systems using machine learning approaches,Sugarcane residue burnt area mapping,Satellite,,1,10.1016/j.atech.2023.100347,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8df30>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8df90>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8e560>,Krityakierne et al. (2025),GIS spatial optimization for agricultural crop allocation using NSGA-II,Agricultural crop allocation optimization,NA (GIS),,1,10.1016/j.inpa.2024.04.005,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8e5c0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8e620>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8ebf0>,Kupfer et al. (2024),Enhanced Monitoring of Sub-Seasonal Land Use Dynamics in Vietnam's Mekong Delta through Quantile Mapping and Harmonic Regression,Sub-seasonal land use dynamics monitoring,Satellite,,0,10.3390/rs16193569,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8ec50>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8ecb0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8f280>,Kustiyo et al. (2024),"Rice fields classification through spectral-temporal data fusion during the rainy and dry seasons using Sentinel-2 optical images in Subang Regency, West Java, Indonesia",Rice field classification,Satellite,,1,10.1007/s10333-024-00972-y,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8f2e0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8f340>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8f910>,Lai et al. (2025),Evaluating the cumulative and time-lag effects of vegetation response to drought in the Lancang-Mekong River basin,Vegetation response to drought,Satellite,,0,10.1016/j.ecolind.2025.114113,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8f970>,Lancang-Mekong River Basin,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8f9d0>,Borderline-SEA → reclassify as SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaa8ffa0>,Lam et al. (2023),Application of Fuzzy and Geospatial Analysis for Identifying Water Pollution Zone in the Can Gio Coastal Mangrove Biosphere Reserve Area,Water pollution zone identification,NA (Geospatial Analysis),,0,10.1007/978-3-031-17808-5_37,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa8040>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa80a0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa8670>,Latthachack et al. (2023),Agricultural commercialization in borderlands: Capturing the transformation of a tropical forest frontier through participatory mapping,Agricultural commercialization & LULC mapping,Satellite,,1,10.3389/fsufs.2022.1048470,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa86d0>,Laos,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa8730>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa8d00>,Le et al. (2025),Spatial-temporal analysis of agricultural drought risk: insights from a Vietnam case study,Agricultural drought risk assessment,NA (GIS & Remote Sensing data),,1,10.3389/feart.2025.1564900,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa8d60>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa8dc0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa9390>,Leccese et al. (2024),Weed control in secondary archaeological sites by means of precision agriculture techniques,Weed control in archaeological sites,"Drone, Sensors",,0,10.21014/actaimeko.v13i2.1753,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa93f0>,NA (Archaeological sites),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa9450>,Non-SEA → review for removal,2.1 Remote Sensing; 2.2 IoT,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa9a20>,Li et al. (2025),Integrating Multi-Temporal Landsat and Sentinel Data for Enhanced Oil Palm Plantation Mapping and Age Estimation in Malaysia,Oil palm plantation mapping and age estimation,Satellite,,1,10.3390/rs17162908,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa9a80>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaa9ae0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaa0b0>,Li et al. (2025),Spatial Distribution Pattern of Forests in Yunnan Province in 2022: Analysis Based on Multi-Source Remote Sensing Data and Machine Learning,Forest spatial distribution pattern analysis,Satellite,,0,10.3390/rs17071146,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaa110>,China,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaa170>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaa740>,Li et al. (2024),Normalized Difference Red-NIR-SWIR: A new Sentinel-2 three-band spectral index for mapping freshly-opened swiddens in the tropics,Swidden agriculture mapping,Satellite,,0,10.1016/j.ecoinf.2024.102775,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaa7a0>,Laos,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaa800>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaadd0>,Li et al. (2025),A long-term paddy rice distribution dataset in Asia at a 30 m spatial resolution,Long-term paddy rice distribution dataset,Satellite,,1,10.1038/s41597-025-05374-1,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaae30>,Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaaae90>,Background (keep),2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaab460>,Li et al. (2025),A Two-Step Method for Monitoring Annual Paddy Rice Planted Area in Tropical Region by Integrating Rice Identification and Cropping Intensity Estimation,Paddy rice planted area monitoring,Satellite,,1,10.1109/TGRS.2025.3549296,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaab4c0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaab520>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaabaf0>,Li et al. (2024),Assessing Drought Impacts on Gross Primary Productivity of Rubber Plantations Using Flux Observations and Remote Sensing in China and Thailand,Drought impacts on rubber plantation productivity,Satellite,,1,10.3390/f15101732,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaabb50>,"China, Thailand",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaabbb0>,SEA,2.1 Remote Sensing,Yes
